               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,              0.0282,            0.028392,           0.0034733,             0.85846,             0.66149,             0.74499,             0.47443,            0.024775,            0.028364,            0.006012,            0.005875,            0.005875,            0.005875
                 127,            0.027807,            0.028154,            0.002964,             0.77089,             0.71808,             0.76599,             0.48711,            0.025043,            0.028168,           0.0056263,            0.005842,            0.005842,            0.005842
                 128,            0.028186,            0.029096,           0.0026663,             0.80177,               0.714,             0.77421,             0.49122,            0.025547,            0.028224,           0.0055931,            0.005809,            0.005809,            0.005809
                 129,            0.029062,             0.02776,           0.0024116,             0.81067,             0.67733,             0.74419,               0.477,            0.025246,            0.027846,            0.006199,            0.005776,            0.005776,            0.005776
                 130,             0.02773,            0.028388,           0.0027216,              0.8652,             0.67229,             0.75411,             0.48295,            0.025018,            0.028103,           0.0065695,            0.005743,            0.005743,            0.005743
                 131,            0.028378,             0.02828,           0.0026249,             0.90213,             0.69422,             0.77607,             0.50785,            0.024866,            0.028125,           0.0054296,             0.00571,             0.00571,             0.00571
                 132,            0.028427,            0.026432,           0.0027471,             0.85096,             0.63669,             0.69701,             0.44928,            0.025173,            0.028578,           0.0075973,            0.005677,            0.005677,            0.005677
                 133,            0.027839,            0.028102,           0.0025225,             0.72023,             0.74418,             0.74785,              0.4719,            0.025483,            0.028317,           0.0061344,            0.005644,            0.005644,            0.005644
                 134,            0.027054,            0.027933,           0.0025921,             0.83375,             0.68117,             0.73944,             0.46608,            0.025185,            0.028397,           0.0069231,            0.005611,            0.005611,            0.005611
                 135,            0.028559,            0.028242,            0.002414,             0.79005,             0.66549,              0.7308,             0.46603,            0.026003,            0.028624,            0.007103,            0.005578,            0.005578,            0.005578
                 136,            0.028416,            0.028663,           0.0026071,             0.81528,             0.64343,             0.70624,             0.45129,             0.02498,            0.028294,           0.0070605,            0.005545,            0.005545,            0.005545
                 137,            0.027193,            0.026567,           0.0027688,             0.76936,             0.65267,             0.71486,             0.45643,            0.025127,            0.028397,           0.0076253,            0.005512,            0.005512,            0.005512
                 138,            0.027624,            0.027689,           0.0023822,             0.76511,             0.65772,              0.7245,             0.46322,              0.0245,             0.02822,           0.0072066,            0.005479,            0.005479,            0.005479
                 139,            0.027285,            0.028066,           0.0023049,             0.82734,             0.70333,             0.75656,             0.48619,            0.024717,            0.028216,           0.0067797,            0.005446,            0.005446,            0.005446
                 140,             0.02709,              0.0261,           0.0026936,             0.82765,             0.65701,             0.74102,             0.47403,            0.024973,            0.028092,           0.0070838,            0.005413,            0.005413,            0.005413
                 141,            0.026084,            0.025577,            0.002147,             0.84463,             0.68165,             0.75058,             0.47577,            0.025381,            0.028351,           0.0070063,             0.00538,             0.00538,             0.00538
                 142,            0.027571,            0.028017,           0.0028159,             0.81961,             0.66854,             0.74795,             0.47886,             0.02495,            0.028559,           0.0061943,            0.005347,            0.005347,            0.005347
                 143,            0.026439,            0.027727,           0.0027974,             0.74134,             0.74708,             0.75098,             0.47903,            0.024673,            0.028676,            0.006145,            0.005314,            0.005314,            0.005314
                 144,            0.027094,            0.027692,           0.0024369,             0.80275,             0.69405,             0.73997,             0.47359,            0.024397,            0.028902,           0.0066678,            0.005281,            0.005281,            0.005281
                 145,            0.026309,             0.02663,           0.0028359,             0.80425,             0.69434,             0.74922,             0.48507,            0.024696,            0.028079,            0.006201,            0.005248,            0.005248,            0.005248
                 146,             0.02586,             0.02721,           0.0025616,             0.84633,             0.66496,             0.74211,             0.48365,            0.024604,            0.028494,           0.0055874,            0.005215,            0.005215,            0.005215
                 147,            0.026834,            0.026139,           0.0020983,             0.81738,             0.65311,             0.73343,             0.47713,            0.024593,            0.028212,           0.0061229,            0.005182,            0.005182,            0.005182
                 148,            0.027606,            0.026763,           0.0022897,             0.91488,             0.64625,             0.74566,             0.48019,            0.024648,            0.028652,           0.0062463,            0.005149,            0.005149,            0.005149
                 149,            0.026747,            0.028548,           0.0022128,              0.8373,             0.64158,             0.72957,             0.47967,            0.024405,            0.028659,           0.0066656,            0.005116,            0.005116,            0.005116
                 150,            0.025795,            0.026476,           0.0021599,             0.76754,             0.69205,             0.72376,             0.46892,            0.024412,            0.028618,           0.0065855,            0.005083,            0.005083,            0.005083
                 151,             0.02632,            0.028165,           0.0021795,             0.91813,             0.60095,             0.72087,             0.47494,            0.024844,            0.028616,           0.0067225,             0.00505,             0.00505,             0.00505
                 152,            0.026411,            0.026643,           0.0029576,             0.77184,             0.71091,             0.74936,             0.49003,            0.024486,            0.028402,           0.0054498,            0.005017,            0.005017,            0.005017
                 153,            0.025723,            0.024265,           0.0023297,             0.85438,             0.69627,             0.77131,             0.50702,            0.024395,            0.028437,           0.0049795,            0.004984,            0.004984,            0.004984
                 154,            0.025624,            0.026236,           0.0020927,             0.88596,             0.63534,             0.74842,              0.4832,            0.024509,            0.028199,           0.0063802,            0.004951,            0.004951,            0.004951
